,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID DATA,Tanggal Tes,KOTA,NO TES,NAMA KANDIDAT,JENIS KELAMIN,TANGGAL LAHIR,PENDIDIKAN TERAKHIR,PERUSAHAAN/INSTITUSI,POSISI YANG DITUJU,CATATAN/KETERANGAN LAIN,EAS1,,,EAS2,,,EAS3,,,,EAS4,,,,EAS5,,EAS6,,EAS7,,EAS8,,EAS9,,EAS10
1,25. Jul. 2018,TEGAL,3342348823,ARIF SETIYONO,L,21. Jan. 2018,S1,PT ANUGERAH ALAM SEJAHTERA,HR MANAGER,PRIORITAS,25,,,30,,,30,,,,150,,,,50,,20,,30,,75,,750,,30
2,25. Jul. 2018,,,,,,,,,,30,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
3,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
4,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
5,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
6,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
7,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,75,,750,,0.01
8,25. Jul. 2018,,,,,,,,,,0.01,,,75,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
9,25. Jul. 2018,,,,,,,,,,0.01,,,75,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
10,25. Jul. 2018,,,,,,,,,,0.01,,,75,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
11,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,1,,1,,0.01
12,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,1,,1,,0.01
13,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
14,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
16,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
17,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
18,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
19,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
21,25. Jul. 2018,,,,,,,,,,0.01,,,0.03,,,0.01,,,,0.05,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
22,23. Aug. 2018,,,,,4. Dec. 1988,,,,,30,,,60,,,30,,,,85,,,,40,,20,,20,,50,,600,,27
22,23. Aug. 2018,,,,,,,,,,20,,,45,,,20,,,,75,,,,20,,15,,15,,40,,400,,20
22,23. Aug. 2018,,,,,10. Aug. 1987,,,,,20,,,45,,,20,,,,75,,,,20,,15,,15,,40,,700,,20
